Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
750.00	1.0000	0.016030	62.384	568.13	790.83	7.8176	0.81322	1.1102	551.48	-0.031511	34.423	0.052414	vapor
760.00	1.0000	0.015819	63.216	576.28	801.94	7.8323	0.81565	1.1126	554.92	-0.033138	34.728	0.052973	vapor
770.00	1.0000	0.015613	64.047	584.45	813.08	7.8469	0.81808	1.1150	558.34	-0.034707	35.031	0.053531	vapor
780.00	1.0000	0.015413	64.879	592.64	824.24	7.8613	0.82051	1.1174	561.73	-0.036220	35.333	0.054087	vapor
790.00	1.0000	0.015218	65.711	600.86	835.43	7.8755	0.82294	1.1199	565.09	-0.037680	35.633	0.054643	vapor
800.00	1.0000	0.015028	66.542	609.10	846.64	7.8896	0.82535	1.1223	568.44	-0.039090	35.932	0.055197	vapor
810.00	1.0000	0.014843	67.374	617.37	857.87	7.9036	0.82776	1.1247	571.76	-0.040451	36.228	0.055750	vapor
820.00	1.0000	0.014662	68.205	625.66	869.13	7.9174	0.83016	1.1271	575.05	-0.041765	36.524	0.056302	vapor
830.00	1.0000	0.014485	69.037	633.97	880.41	7.9311	0.83254	1.1295	578.33	-0.043035	36.817	0.056852	vapor
840.00	1.0000	0.014313	69.869	642.31	891.72	7.9446	0.83492	1.1318	581.58	-0.044262	37.109	0.057401	vapor
850.00	1.0000	0.014144	70.700	650.67	903.05	7.9580	0.83728	1.1342	584.81	-0.045448	37.400	0.057949	vapor
860.00	1.0000	0.013980	71.532	659.06	914.40	7.9713	0.83962	1.1365	588.03	-0.046595	37.689	0.058495	vapor
870.00	1.0000	0.013819	72.363	667.46	925.78	7.9844	0.84195	1.1389	591.22	-0.047704	37.977	0.059040	vapor
880.00	1.0000	0.013662	73.195	675.90	937.18	7.9975	0.84427	1.1412	594.39	-0.048778	38.263	0.059584	vapor
890.00	1.0000	0.013509	74.027	684.35	948.60	8.0104	0.84656	1.1435	597.55	-0.049817	38.548	0.060126	vapor
900.00	1.0000	0.013359	74.858	692.83	960.05	8.0232	0.84884	1.1457	600.68	-0.050822	38.832	0.060666	vapor
910.00	1.0000	0.013212	75.690	701.33	971.52	8.0358	0.85110	1.1480	603.80	-0.051797	39.114	0.061206	vapor
920.00	1.0000	0.013068	76.521	709.85	983.01	8.0484	0.85334	1.1502	606.90	-0.052740	39.395	0.061743	vapor
930.00	1.0000	0.012928	77.353	718.40	994.52	8.0608	0.85556	1.1524	609.98	-0.053654	39.674	0.062279	vapor
940.00	1.0000	0.012790	78.185	726.96	1006.1	8.0732	0.85776	1.1546	613.05	-0.054540	39.953	0.062814	vapor
950.00	1.0000	0.012656	79.016	735.55	1017.6	8.0854	0.85994	1.1568	616.10	-0.055399	40.230	0.063347	vapor
960.00	1.0000	0.012524	79.848	744.16	1029.2	8.0975	0.86210	1.1590	619.13	-0.056233	40.505	0.063879	vapor
970.00	1.0000	0.012395	80.679	752.79	1040.8	8.1096	0.86424	1.1611	622.15	-0.057041	40.780	0.064409	vapor
980.00	1.0000	0.012268	81.511	761.45	1052.4	8.1215	0.86636	1.1632	625.15	-0.057825	41.054	0.064938	vapor
990.00	1.0000	0.012144	82.342	770.12	1064.1	8.1333	0.86845	1.1653	628.14	-0.058586	41.326	0.065465	vapor
1000.0	1.0000	0.012023	83.174	778.82	1075.7	8.1450	0.87052	1.1674	631.11	-0.059324	41.597	0.065991	vapor
1010.0	1.0000	0.011904	84.005	787.53	1087.4	8.1566	0.87257	1.1694	634.06	-0.060042	41.867	0.066515	vapor
1020.0	1.0000	0.011787	84.837	796.27	1099.1	8.1682	0.87460	1.1715	637.01	-0.060738	42.136	0.067037	vapor
1030.0	1.0000	0.011673	85.668	805.03	1110.8	8.1796	0.87660	1.1735	639.93	-0.061415	42.404	0.067558	vapor
